event_id,country_code,country_name,event_name,event_category,event_subcategory,event_start_date,event_end_date,event_year,event_date_precision,indicator_group,indicator_slug,indicator_name,indicator_unit,indicator_source,previous_year,event_year_value,next_year,previous_year_value,next_year_value,change_from_previous_year,change_to_next_year,previous_year_z_score,event_year_z_score,next_year_z_score,z_change_from_previous_year,z_change_to_next_year
ARG_2016_2019,ARG,Argentina,Governo Mauricio Macri,politics,economic_policy,2016-01-01,2019-12-31,2016,year_range,gdp,gdp_growth_annual_pct,GDP growth (annual %),annual_pct,World Bank API,2015,-2.08032784377811,2017,,2.81850297775918,,4.89883082153729,,-0.368212435396322,0.5234768888819232,,0.8916893242782452
ARG_2016_2019,ARG,Argentina,Governo Mauricio Macri,politics,economic_policy,2016-01-01,2019-12-31,2016,year_range,gdp,gdp_per_capita_current_usd,GDP per capita (current US$),current_usd,World Bank API,2015,12699.9623137756,2017,,14532.5009308511,,1832.5386170754991,,0.2134010609148279,1.1179510129974437,,0.9045499520826158
ARG_2016_2019,ARG,Argentina,Governo Mauricio Macri,politics,economic_policy,2016-01-01,2019-12-31,2016,year_range,unemployment,unemployment_pct,"Unemployment, total (% of total labor force)",annual_pct,World Bank API,2015,8.088,2017,,8.347,,0.25900000000000034,,-0.1353853878755337,0.0353293904095822,,0.1707147782851159
ARG_2018_06,ARG,Argentina,Acordo com FMI,economy,debt_exchange_rate,2018-06-01,2018-06-30,2018,month,gdp,gdp_growth_annual_pct,GDP growth (annual %),annual_pct,World Bank API,2017,-2.61739646282038,2019,2.81850297775918,-2.00086100285785,-5.4358994405795595,0.6165354599625301,0.5234768888819232,-0.4659701191071814,-0.3537478138847595,-0.9894470079891047,0.11222230522242188
ARG_2018_06,ARG,Argentina,Acordo com FMI,economy,debt_exchange_rate,2018-06-01,2018-06-30,2018,month,gdp,gdp_per_capita_current_usd,GDP per capita (current US$),current_usd,World Bank API,2017,11752.7998922979,2019,14532.5009308511,9955.97478680428,-2779.7010385531994,-1796.8251054936209,1.1179510129974437,-0.2541229055538199,-1.141044495052926,-1.3720739185512636,-0.886921589499106
ARG_2018_06,ARG,Argentina,Acordo com FMI,economy,debt_exchange_rate,2018-06-01,2018-06-30,2018,month,inflation,inflation_annual_pct,"Inflation, consumer prices (annual %)",annual_pct,World Bank API,2017,34.2772237131003,2019,,53.5483043492339,,19.271080636133604,,-0.8308018557428881,-0.5230041963310159,,0.3077976594118722
ARG_2018_06,ARG,Argentina,Acordo com FMI,economy,debt_exchange_rate,2018-06-01,2018-06-30,2018,month,unemployment,unemployment_pct,"Unemployment, total (% of total labor force)",annual_pct,World Bank API,2017,9.22,2019,8.347,9.843,0.8730000000000011,0.6229999999999993,0.0353293904095822,0.6107502454014984,1.0213884958711008,0.5754208549919162,0.41063825046960245
ARG_2018_08_30,ARG,Argentina,Crise cambial e alta emergencial dos juros,economy,debt_exchange_rate,2018-08-30,2018-08-30,2018,day,gdp,gdp_growth_annual_pct,GDP growth (annual %),annual_pct,World Bank API,2017,-2.61739646282038,2019,2.81850297775918,-2.00086100285785,-5.4358994405795595,0.6165354599625301,0.5234768888819232,-0.4659701191071814,-0.3537478138847595,-0.9894470079891047,0.11222230522242188
ARG_2018_08_30,ARG,Argentina,Crise cambial e alta emergencial dos juros,economy,debt_exchange_rate,2018-08-30,2018-08-30,2018,day,gdp,gdp_per_capita_current_usd,GDP per capita (current US$),current_usd,World Bank API,2017,11752.7998922979,2019,14532.5009308511,9955.97478680428,-2779.7010385531994,-1796.8251054936209,1.1179510129974437,-0.2541229055538199,-1.141044495052926,-1.3720739185512636,-0.886921589499106
ARG_2018_08_30,ARG,Argentina,Crise cambial e alta emergencial dos juros,economy,debt_exchange_rate,2018-08-30,2018-08-30,2018,day,inflation,inflation_annual_pct,"Inflation, consumer prices (annual %)",annual_pct,World Bank API,2017,34.2772237131003,2019,,53.5483043492339,,19.271080636133604,,-0.8308018557428881,-0.5230041963310159,,0.3077976594118722
