date,value,series_code,series_slug,series_name
01/01/2016,1.27,433,ipca,IPCA
01/02/2016,0.90,433,ipca,IPCA
01/03/2016,0.43,433,ipca,IPCA
01/04/2016,0.61,433,ipca,IPCA
01/05/2016,0.78,433,ipca,IPCA
01/06/2016,0.35,433,ipca,IPCA
01/07/2016,0.52,433,ipca,IPCA
01/08/2016,0.44,433,ipca,IPCA
01/09/2016,0.08,433,ipca,IPCA
01/10/2016,0.26,433,ipca,IPCA
01/11/2016,0.18,433,ipca,IPCA
01/12/2016,0.30,433,ipca,IPCA
01/01/2017,0.38,433,ipca,IPCA
01/02/2017,0.33,433,ipca,IPCA
01/03/2017,0.25,433,ipca,IPCA
01/04/2017,0.14,433,ipca,IPCA
01/05/2017,0.31,433,ipca,IPCA
01/06/2017,-0.23,433,ipca,IPCA
01/07/2017,0.24,433,ipca,IPCA
01/08/2017,0.19,433,ipca,IPCA
01/09/2017,0.16,433,ipca,IPCA
01/10/2017,0.42,433,ipca,IPCA
01/11/2017,0.28,433,ipca,IPCA
01/12/2017,0.44,433,ipca,IPCA
01/01/2018,0.29,433,ipca,IPCA
01/02/2018,0.32,433,ipca,IPCA
01/03/2018,0.09,433,ipca,IPCA
01/04/2018,0.22,433,ipca,IPCA
01/05/2018,0.40,433,ipca,IPCA
01/06/2018,1.26,433,ipca,IPCA
01/07/2018,0.33,433,ipca,IPCA
01/08/2018,-0.09,433,ipca,IPCA
01/09/2018,0.48,433,ipca,IPCA
01/10/2018,0.45,433,ipca,IPCA
01/11/2018,-0.21,433,ipca,IPCA
01/12/2018,0.15,433,ipca,IPCA
01/01/2019,0.32,433,ipca,IPCA
01/02/2019,0.43,433,ipca,IPCA
01/03/2019,0.75,433,ipca,IPCA
01/04/2019,0.57,433,ipca,IPCA
01/05/2019,0.13,433,ipca,IPCA
01/06/2019,0.01,433,ipca,IPCA
01/07/2019,0.19,433,ipca,IPCA
01/08/2019,0.11,433,ipca,IPCA
01/09/2019,-0.04,433,ipca,IPCA
01/10/2019,0.10,433,ipca,IPCA
01/11/2019,0.51,433,ipca,IPCA
01/12/2019,1.15,433,ipca,IPCA
01/01/2020,0.21,433,ipca,IPCA
01/02/2020,0.25,433,ipca,IPCA
01/03/2020,0.07,433,ipca,IPCA
01/04/2020,-0.31,433,ipca,IPCA
01/05/2020,-0.38,433,ipca,IPCA
01/06/2020,0.26,433,ipca,IPCA
01/07/2020,0.36,433,ipca,IPCA
01/08/2020,0.24,433,ipca,IPCA
01/09/2020,0.64,433,ipca,IPCA
01/10/2020,0.86,433,ipca,IPCA
01/11/2020,0.89,433,ipca,IPCA
01/12/2020,1.35,433,ipca,IPCA
01/01/2021,0.25,433,ipca,IPCA
01/02/2021,0.86,433,ipca,IPCA
01/03/2021,0.93,433,ipca,IPCA
01/04/2021,0.31,433,ipca,IPCA
01/05/2021,0.83,433,ipca,IPCA
01/06/2021,0.53,433,ipca,IPCA
01/07/2021,0.96,433,ipca,IPCA
01/08/2021,0.87,433,ipca,IPCA
01/09/2021,1.16,433,ipca,IPCA
01/10/2021,1.25,433,ipca,IPCA
01/11/2021,0.95,433,ipca,IPCA
01/12/2021,0.73,433,ipca,IPCA
01/01/2022,0.54,433,ipca,IPCA
01/02/2022,1.01,433,ipca,IPCA
01/03/2022,1.62,433,ipca,IPCA
01/04/2022,1.06,433,ipca,IPCA
01/05/2022,0.47,433,ipca,IPCA
01/06/2022,0.67,433,ipca,IPCA
01/07/2022,-0.68,433,ipca,IPCA
01/08/2022,-0.36,433,ipca,IPCA
01/09/2022,-0.29,433,ipca,IPCA
01/10/2022,0.59,433,ipca,IPCA
01/11/2022,0.41,433,ipca,IPCA
01/12/2022,0.62,433,ipca,IPCA
01/01/2023,0.53,433,ipca,IPCA
01/02/2023,0.84,433,ipca,IPCA
01/03/2023,0.71,433,ipca,IPCA
01/04/2023,0.61,433,ipca,IPCA
01/05/2023,0.23,433,ipca,IPCA
01/06/2023,-0.08,433,ipca,IPCA
01/07/2023,0.12,433,ipca,IPCA
01/08/2023,0.23,433,ipca,IPCA
01/09/2023,0.26,433,ipca,IPCA
01/10/2023,0.24,433,ipca,IPCA
01/11/2023,0.28,433,ipca,IPCA
01/12/2023,0.56,433,ipca,IPCA
01/01/2024,0.42,433,ipca,IPCA
01/02/2024,0.83,433,ipca,IPCA
01/03/2024,0.16,433,ipca,IPCA
01/04/2024,0.38,433,ipca,IPCA
01/05/2024,0.46,433,ipca,IPCA
01/06/2024,0.21,433,ipca,IPCA
01/07/2024,0.38,433,ipca,IPCA
01/08/2024,-0.02,433,ipca,IPCA
01/09/2024,0.44,433,ipca,IPCA
01/10/2024,0.56,433,ipca,IPCA
01/11/2024,0.39,433,ipca,IPCA
01/12/2024,0.52,433,ipca,IPCA
01/01/2025,0.16,433,ipca,IPCA
01/02/2025,1.31,433,ipca,IPCA
01/03/2025,0.56,433,ipca,IPCA
01/04/2025,0.43,433,ipca,IPCA
01/05/2025,0.26,433,ipca,IPCA
01/06/2025,0.24,433,ipca,IPCA
01/07/2025,0.26,433,ipca,IPCA
01/08/2025,-0.11,433,ipca,IPCA
01/09/2025,0.48,433,ipca,IPCA
01/10/2025,0.09,433,ipca,IPCA
01/11/2025,0.18,433,ipca,IPCA
01/12/2025,0.33,433,ipca,IPCA
01/01/2026,0.33,433,ipca,IPCA
01/02/2026,0.70,433,ipca,IPCA
01/03/2026,0.88,433,ipca,IPCA
01/04/2026,0.67,433,ipca,IPCA
04/01/2016,0.052531,11,selic,Selic
05/01/2016,0.052531,11,selic,Selic
06/01/2016,0.052531,11,selic,Selic
07/01/2016,0.052531,11,selic,Selic
08/01/2016,0.052531,11,selic,Selic
11/01/2016,0.052531,11,selic,Selic
12/01/2016,0.052531,11,selic,Selic
13/01/2016,0.052531,11,selic,Selic
14/01/2016,0.052531,11,selic,Selic
15/01/2016,0.052531,11,selic,Selic
18/01/2016,0.052531,11,selic,Selic
19/01/2016,0.052531,11,selic,Selic
20/01/2016,0.052531,11,selic,Selic
21/01/2016,0.052531,11,selic,Selic
22/01/2016,0.052531,11,selic,Selic
25/01/2016,0.052531,11,selic,Selic
26/01/2016,0.052531,11,selic,Selic
27/01/2016,0.052531,11,selic,Selic
28/01/2016,0.052531,11,selic,Selic
29/01/2016,0.052531,11,selic,Selic
01/02/2016,0.052531,11,selic,Selic
