event_id,country_code,country_name,event_name,event_category,event_subcategory,event_start_date,event_end_date,event_anchor_date,event_date_precision,window_days,indicator_group,indicator_slug,indicator_name,indicator_frequency,indicator_unit,indicator_source,before_start,before_end,after_start,after_end,before_observations,after_observations,before_mean,after_mean,absolute_change,percentage_change
ARG_2018_06,ARG,Argentina,Acordo com FMI,economy,debt_exchange_rate,2018-06-01,2018-06-30,2018-06-15,month,30,exchange_rate,dolar_blue,Dolar blue Argentina,daily,ARS per USD,Bluelytics,2018-05-16,2018-06-14,2018-06-16,2018-07-15,29,29,25.862068965517242,28.586206896551722,2.7241379310344804,10.533333333333324
ARG_2018_06,ARG,Argentina,Acordo com FMI,economy,debt_exchange_rate,2018-06-01,2018-06-30,2018-06-15,month,90,exchange_rate,dolar_blue,Dolar blue Argentina,daily,ARS per USD,Bluelytics,2018-03-17,2018-06-14,2018-06-16,2018-09-13,89,89,22.96629213483146,30.741573033707866,7.775280898876407,33.85518590998044
ARG_2018_06,ARG,Argentina,Acordo com FMI,economy,debt_exchange_rate,2018-06-01,2018-06-30,2018-06-15,month,180,exchange_rate,dolar_blue,Dolar blue Argentina,daily,ARS per USD,Bluelytics,2017-12-17,2018-06-14,2018-06-16,2018-12-12,179,179,21.279329608938546,34.26815642458101,12.988826815642462,61.03964295090577
ARG_2018_06,ARG,Argentina,Acordo com FMI,economy,debt_exchange_rate,2018-06-01,2018-06-30,2018-06-15,month,365,exchange_rate,dolar_blue,Dolar blue Argentina,daily,ARS per USD,Bluelytics,2017-06-15,2018-06-14,2018-06-16,2019-06-15,342,364,19.637426900584796,38.13186813186813,18.494441231283336,94.17955481088298
ARG_2018_06,ARG,Argentina,Acordo com FMI,economy,debt_exchange_rate,2018-06-01,2018-06-30,2018-06-15,month,30,exchange_rate,dolar_oficial,Dolar oficial Argentina,daily,ARS per USD,Bluelytics,2018-05-16,2018-06-14,2018-06-16,2018-07-15,29,29,25.586206896551722,28.517241379310345,2.9310344827586228,11.455525606469012
ARG_2018_06,ARG,Argentina,Acordo com FMI,economy,debt_exchange_rate,2018-06-01,2018-06-30,2018-06-15,month,90,exchange_rate,dolar_oficial,Dolar oficial Argentina,daily,ARS per USD,Bluelytics,2018-03-17,2018-06-14,2018-06-16,2018-09-13,89,89,22.640449438202246,30.56179775280899,7.9213483146067425,34.98759305210918
ARG_2018_06,ARG,Argentina,Acordo com FMI,economy,debt_exchange_rate,2018-06-01,2018-06-30,2018-06-15,month,180,exchange_rate,dolar_oficial,Dolar oficial Argentina,daily,ARS per USD,Bluelytics,2017-12-17,2018-06-14,2018-06-16,2018-12-12,179,179,21.134078212290504,34.45810055865922,13.324022346368714,63.04520222045995
ARG_2018_06,ARG,Argentina,Acordo com FMI,economy,debt_exchange_rate,2018-06-01,2018-06-30,2018-06-15,month,365,exchange_rate,dolar_oficial,Dolar oficial Argentina,daily,ARS per USD,Bluelytics,2017-06-15,2018-06-14,2018-06-16,2019-06-15,342,364,19.470760233918128,38.31868131868132,18.847921084763193,96.8011564948042
ARG_2018_08_30,ARG,Argentina,Crise cambial e alta emergencial dos juros,economy,debt_exchange_rate,2018-08-30,2018-08-30,2018-08-30,day,30,exchange_rate,dolar_blue,Dolar blue Argentina,daily,ARS per USD,Bluelytics,2018-07-31,2018-08-29,2018-08-31,2018-09-29,30,30,29.8,39.06666666666667,9.26666666666667,31.096196868008956
ARG_2018_08_30,ARG,Argentina,Crise cambial e alta emergencial dos juros,economy,debt_exchange_rate,2018-08-30,2018-08-30,2018-08-30,day,90,exchange_rate,dolar_blue,Dolar blue Argentina,daily,ARS per USD,Bluelytics,2018-06-01,2018-08-29,2018-08-31,2018-11-28,90,90,28.7,37.855555555555554,9.155555555555555,31.900890437475805
ARG_2018_08_30,ARG,Argentina,Crise cambial e alta emergencial dos juros,economy,debt_exchange_rate,2018-08-30,2018-08-30,2018-08-30,day,180,exchange_rate,dolar_blue,Dolar blue Argentina,daily,ARS per USD,Bluelytics,2018-03-03,2018-08-29,2018-08-31,2019-02-26,180,180,25.405555555555555,38.25,12.844444444444445,50.557620817843876
ARG_2018_08_30,ARG,Argentina,Crise cambial e alta emergencial dos juros,economy,debt_exchange_rate,2018-08-30,2018-08-30,2018-08-30,day,365,exchange_rate,dolar_blue,Dolar blue Argentina,daily,ARS per USD,Bluelytics,2017-08-30,2018-08-29,2018-08-31,2019-08-30,343,365,22.183673469387756,41.9972602739726,19.813586804584844,89.3160766720016
ARG_2018_08_30,ARG,Argentina,Crise cambial e alta emergencial dos juros,economy,debt_exchange_rate,2018-08-30,2018-08-30,2018-08-30,day,30,exchange_rate,dolar_oficial,Dolar oficial Argentina,daily,ARS per USD,Bluelytics,2018-07-31,2018-08-29,2018-08-31,2018-09-29,30,30,29.8,39.233333333333334,9.433333333333334,31.655480984340045
ARG_2018_08_30,ARG,Argentina,Crise cambial e alta emergencial dos juros,economy,debt_exchange_rate,2018-08-30,2018-08-30,2018-08-30,day,90,exchange_rate,dolar_oficial,Dolar oficial Argentina,daily,ARS per USD,Bluelytics,2018-06-01,2018-08-29,2018-08-31,2018-11-28,90,90,28.5,38.3,9.799999999999997,34.38596491228069
ARG_2018_08_30,ARG,Argentina,Crise cambial e alta emergencial dos juros,economy,debt_exchange_rate,2018-08-30,2018-08-30,2018-08-30,day,180,exchange_rate,dolar_oficial,Dolar oficial Argentina,daily,ARS per USD,Bluelytics,2018-03-03,2018-08-29,2018-08-31,2019-02-26,180,180,25.16111111111111,38.56666666666667,13.405555555555559,53.278869507617586
ARG_2018_08_30,ARG,Argentina,Crise cambial e alta emergencial dos juros,economy,debt_exchange_rate,2018-08-30,2018-08-30,2018-08-30,day,365,exchange_rate,dolar_oficial,Dolar oficial Argentina,daily,ARS per USD,Bluelytics,2017-08-30,2018-08-29,2018-08-31,2019-08-30,343,365,22.03206997084548,42.21369863013699,20.18162865929151,91.60114635618616
ARG_2019_08_11,ARG,Argentina,Primarias com derrota de Macri,politics,election,2019-08-11,2019-08-11,2019-08-11,day,30,exchange_rate,dolar_blue,Dolar blue Argentina,daily,ARS per USD,Bluelytics,2019-07-12,2019-08-10,2019-08-12,2019-09-10,30,30,44.86666666666667,59.3,14.43333333333333,32.169390787518566
ARG_2019_08_11,ARG,Argentina,Primarias com derrota de Macri,politics,election,2019-08-11,2019-08-11,2019-08-11,day,90,exchange_rate,dolar_blue,Dolar blue Argentina,daily,ARS per USD,Bluelytics,2019-05-13,2019-08-10,2019-08-12,2019-11-09,90,90,44.955555555555556,62.72222222222222,17.766666666666666,39.52051408798813
ARG_2019_08_11,ARG,Argentina,Primarias com derrota de Macri,politics,election,2019-08-11,2019-08-11,2019-08-11,day,180,exchange_rate,dolar_blue,Dolar blue Argentina,daily,ARS per USD,Bluelytics,2019-02-12,2019-08-10,2019-08-12,2020-02-07,180,180,43.705555555555556,68.09444444444445,24.388888888888893,55.80272022371934
ARG_2019_08_11,ARG,Argentina,Primarias com derrota de Macri,politics,election,2019-08-11,2019-08-11,2019-08-11,day,365,exchange_rate,dolar_blue,Dolar blue Argentina,daily,ARS per USD,Bluelytics,2018-08-11,2019-08-10,2019-08-12,2020-08-10,365,341,40.52602739726027,86.36363636363636,45.83760896637609,113.10659324450563
ARG_2019_08_11,ARG,Argentina,Primarias com derrota de Macri,politics,election,2019-08-11,2019-08-11,2019-08-11,day,30,exchange_rate,dolar_oficial,Dolar oficial Argentina,daily,ARS per USD,Bluelytics,2019-07-12,2019-08-10,2019-08-12,2019-09-10,30,30,44.86666666666667,58.4,13.533333333333331,30.163447251114405
ARG_2019_08_11,ARG,Argentina,Primarias com derrota de Macri,politics,election,2019-08-11,2019-08-11,2019-08-11,day,90,exchange_rate,dolar_oficial,Dolar oficial Argentina,daily,ARS per USD,Bluelytics,2019-05-13,2019-08-10,2019-08-12,2019-11-09,90,90,44.977777777777774,59.955555555555556,14.977777777777781,33.30039525691701
