event_id,country_code,country_name,event_name,event_category,event_subcategory,event_start_date,event_end_date,event_anchor_date,event_date_precision,window_days,indicator_group,indicator_slug,indicator_name,indicator_frequency,indicator_unit,indicator_source,before_start,before_end,after_start,after_end,before_observations,after_observations,before_mean,after_mean,absolute_change,percentage_change,historical_std,standardized_change,abs_standardized_change
ARG_2018_06,ARG,Argentina,Acordo com FMI,economy,debt_exchange_rate,2018-06-01,2018-06-30,2018-06-15,month,30,exchange_rate,dolar_blue,Dolar blue Argentina,daily,ARS per USD,Bluelytics,2018-05-16,2018-06-14,2018-06-16,2018-07-15,29,29,25.86206896551724,28.58620689655172,2.7241379310344804,10.533333333333324,495.6110040341538,0.005496524308097795,0.005496524308097795
ARG_2018_06,ARG,Argentina,Acordo com FMI,economy,debt_exchange_rate,2018-06-01,2018-06-30,2018-06-15,month,90,exchange_rate,dolar_blue,Dolar blue Argentina,daily,ARS per USD,Bluelytics,2018-03-17,2018-06-14,2018-06-16,2018-09-13,89,89,22.96629213483146,30.741573033707866,7.775280898876407,33.85518590998044,495.6110040341538,0.015688273334505287,0.015688273334505287
ARG_2018_06,ARG,Argentina,Acordo com FMI,economy,debt_exchange_rate,2018-06-01,2018-06-30,2018-06-15,month,180,exchange_rate,dolar_blue,Dolar blue Argentina,daily,ARS per USD,Bluelytics,2017-12-17,2018-06-14,2018-06-16,2018-12-12,179,179,21.279329608938543,34.26815642458101,12.988826815642462,61.03964295090577,495.6110040341538,0.02620770465126188,0.02620770465126188
ARG_2018_06,ARG,Argentina,Acordo com FMI,economy,debt_exchange_rate,2018-06-01,2018-06-30,2018-06-15,month,365,exchange_rate,dolar_blue,Dolar blue Argentina,daily,ARS per USD,Bluelytics,2017-06-15,2018-06-14,2018-06-16,2019-06-15,342,364,19.6374269005848,38.13186813186813,18.494441231283336,94.17955481088298,495.6110040341538,0.03731644592380527,0.03731644592380527
ARG_2018_06,ARG,Argentina,Acordo com FMI,economy,debt_exchange_rate,2018-06-01,2018-06-30,2018-06-15,month,30,exchange_rate,dolar_oficial,Dolar oficial Argentina,daily,ARS per USD,Bluelytics,2018-05-16,2018-06-14,2018-06-16,2018-07-15,29,29,25.58620689655172,28.517241379310345,2.9310344827586228,11.455525606469012,454.1485414111028,0.006453911474980169,0.006453911474980169
ARG_2018_06,ARG,Argentina,Acordo com FMI,economy,debt_exchange_rate,2018-06-01,2018-06-30,2018-06-15,month,90,exchange_rate,dolar_oficial,Dolar oficial Argentina,daily,ARS per USD,Bluelytics,2018-03-17,2018-06-14,2018-06-16,2018-09-13,89,89,22.640449438202246,30.56179775280899,7.9213483146067425,34.98759305210918,454.1485414111028,0.01744219697369061,0.01744219697369061
ARG_2018_06,ARG,Argentina,Acordo com FMI,economy,debt_exchange_rate,2018-06-01,2018-06-30,2018-06-15,month,180,exchange_rate,dolar_oficial,Dolar oficial Argentina,daily,ARS per USD,Bluelytics,2017-12-17,2018-06-14,2018-06-16,2018-12-12,179,179,21.134078212290504,34.45810055865922,13.324022346368714,63.04520222045995,454.1485414111028,0.029338467773053108,0.029338467773053108
ARG_2018_06,ARG,Argentina,Acordo com FMI,economy,debt_exchange_rate,2018-06-01,2018-06-30,2018-06-15,month,365,exchange_rate,dolar_oficial,Dolar oficial Argentina,daily,ARS per USD,Bluelytics,2017-06-15,2018-06-14,2018-06-16,2019-06-15,342,364,19.470760233918128,38.31868131868132,18.847921084763197,96.8011564948042,454.1485414111028,0.04150166601042046,0.04150166601042046
ARG_2018_08_30,ARG,Argentina,Crise cambial e alta emergencial dos juros,economy,debt_exchange_rate,2018-08-30,2018-08-30,2018-08-30,day,30,exchange_rate,dolar_blue,Dolar blue Argentina,daily,ARS per USD,Bluelytics,2018-07-31,2018-08-29,2018-08-31,2018-09-29,30,30,29.8,39.06666666666667,9.26666666666667,31.09619686800896,495.6110040341538,0.018697459481807795,0.018697459481807795
ARG_2018_08_30,ARG,Argentina,Crise cambial e alta emergencial dos juros,economy,debt_exchange_rate,2018-08-30,2018-08-30,2018-08-30,day,90,exchange_rate,dolar_blue,Dolar blue Argentina,daily,ARS per USD,Bluelytics,2018-06-01,2018-08-29,2018-08-31,2018-11-28,90,90,28.7,37.855555555555554,9.155555555555557,31.900890437475805,495.6110040341538,0.01847326932015542,0.01847326932015542
ARG_2018_08_30,ARG,Argentina,Crise cambial e alta emergencial dos juros,economy,debt_exchange_rate,2018-08-30,2018-08-30,2018-08-30,day,180,exchange_rate,dolar_blue,Dolar blue Argentina,daily,ARS per USD,Bluelytics,2018-03-03,2018-08-29,2018-08-31,2019-02-26,180,180,25.405555555555555,38.25,12.844444444444443,50.55762081784388,495.6110040341538,0.02591638268701415,0.02591638268701415
ARG_2018_08_30,ARG,Argentina,Crise cambial e alta emergencial dos juros,economy,debt_exchange_rate,2018-08-30,2018-08-30,2018-08-30,day,365,exchange_rate,dolar_blue,Dolar blue Argentina,daily,ARS per USD,Bluelytics,2017-08-30,2018-08-29,2018-08-31,2019-08-30,343,365,22.18367346938776,41.9972602739726,19.813586804584844,89.3160766720016,495.6110040341538,0.03997810105769855,0.03997810105769855
ARG_2018_08_30,ARG,Argentina,Crise cambial e alta emergencial dos juros,economy,debt_exchange_rate,2018-08-30,2018-08-30,2018-08-30,day,30,exchange_rate,dolar_oficial,Dolar oficial Argentina,daily,ARS per USD,Bluelytics,2018-07-31,2018-08-29,2018-08-31,2018-09-29,30,30,29.8,39.23333333333333,9.433333333333334,31.655480984340045,454.1485414111028,0.02077147116673028,0.02077147116673028
ARG_2018_08_30,ARG,Argentina,Crise cambial e alta emergencial dos juros,economy,debt_exchange_rate,2018-08-30,2018-08-30,2018-08-30,day,90,exchange_rate,dolar_oficial,Dolar oficial Argentina,daily,ARS per USD,Bluelytics,2018-06-01,2018-08-29,2018-08-31,2018-11-28,90,90,28.5,38.3,9.799999999999995,34.38596491228069,454.1485414111028,0.021578842837521903,0.021578842837521903
ARG_2018_08_30,ARG,Argentina,Crise cambial e alta emergencial dos juros,economy,debt_exchange_rate,2018-08-30,2018-08-30,2018-08-30,day,180,exchange_rate,dolar_oficial,Dolar oficial Argentina,daily,ARS per USD,Bluelytics,2018-03-03,2018-08-29,2018-08-31,2019-02-26,180,180,25.16111111111111,38.56666666666667,13.40555555555556,53.27886950761759,454.1485414111028,0.029517997600306347,0.029517997600306347
ARG_2018_08_30,ARG,Argentina,Crise cambial e alta emergencial dos juros,economy,debt_exchange_rate,2018-08-30,2018-08-30,2018-08-30,day,365,exchange_rate,dolar_oficial,Dolar oficial Argentina,daily,ARS per USD,Bluelytics,2017-08-30,2018-08-29,2018-08-31,2019-08-30,343,365,22.03206997084548,42.21369863013699,20.18162865929151,91.60114635618616,454.1485414111028,0.044438387045314234,0.044438387045314234
ARG_2019_08_11,ARG,Argentina,Primarias com derrota de Macri,politics,election,2019-08-11,2019-08-11,2019-08-11,day,30,exchange_rate,dolar_blue,Dolar blue Argentina,daily,ARS per USD,Bluelytics,2019-07-12,2019-08-10,2019-08-12,2019-09-10,30,30,44.86666666666667,59.3,14.43333333333333,32.169390787518566,495.6110040341538,0.02912230199864306,0.02912230199864306
ARG_2019_08_11,ARG,Argentina,Primarias com derrota de Macri,politics,election,2019-08-11,2019-08-11,2019-08-11,day,90,exchange_rate,dolar_blue,Dolar blue Argentina,daily,ARS per USD,Bluelytics,2019-05-13,2019-08-10,2019-08-12,2019-11-09,90,90,44.95555555555556,62.72222222222222,17.766666666666666,39.52051408798813,495.6110040341538,0.03584800684821421,0.03584800684821421
ARG_2019_08_11,ARG,Argentina,Primarias com derrota de Macri,politics,election,2019-08-11,2019-08-11,2019-08-11,day,180,exchange_rate,dolar_blue,Dolar blue Argentina,daily,ARS per USD,Bluelytics,2019-02-12,2019-08-10,2019-08-12,2020-02-07,180,180,43.70555555555556,68.09444444444445,24.388888888888893,55.80272022371934,495.6110040341538,0.049209740482695566,0.049209740482695566
ARG_2019_08_11,ARG,Argentina,Primarias com derrota de Macri,politics,election,2019-08-11,2019-08-11,2019-08-11,day,365,exchange_rate,dolar_blue,Dolar blue Argentina,daily,ARS per USD,Bluelytics,2018-08-11,2019-08-10,2019-08-12,2020-08-10,365,341,40.52602739726027,86.36363636363636,45.83760896637609,113.10659324450565,495.6110040341538,0.09248706867537046,0.09248706867537046
ARG_2019_08_11,ARG,Argentina,Primarias com derrota de Macri,politics,election,2019-08-11,2019-08-11,2019-08-11,day,30,exchange_rate,dolar_oficial,Dolar oficial Argentina,daily,ARS per USD,Bluelytics,2019-07-12,2019-08-10,2019-08-12,2019-09-10,30,30,44.86666666666667,58.4,13.533333333333331,30.163447251114405,454.1485414111028,0.029799354394673114,0.029799354394673114
ARG_2019_08_11,ARG,Argentina,Primarias com derrota de Macri,politics,election,2019-08-11,2019-08-11,2019-08-11,day,90,exchange_rate,dolar_oficial,Dolar oficial Argentina,daily,ARS per USD,Bluelytics,2019-05-13,2019-08-10,2019-08-12,2019-11-09,90,90,44.977777777777774,59.95555555555556,14.97777777777778,33.30039525691701,454.1485414111028,0.03297990946142805,0.03297990946142805
ARG_2019_08_11,ARG,Argentina,Primarias com derrota de Macri,politics,election,2019-08-11,2019-08-11,2019-08-11,day,180,exchange_rate,dolar_oficial,Dolar oficial Argentina,daily,ARS per USD,Bluelytics,2019-02-12,2019-08-10,2019-08-12,2020-02-07,180,180,43.96111111111111,61.477777777777774,17.516666666666666,39.84582332869961,454.1485414111028,0.038570346636454984,0.038570346636454984
ARG_2019_08_11,ARG,Argentina,Primarias com derrota de Macri,politics,election,2019-08-11,2019-08-11,2019-08-11,day,365,exchange_rate,dolar_oficial,Dolar oficial Argentina,daily,ARS per USD,Bluelytics,2018-08-11,2019-08-10,2019-08-12,2020-08-10,365,341,40.76712328767123,65.12023460410558,24.353111316434344,59.73713461356542,454.1485414111028,0.05362366956142991,0.05362366956142991
ARG_2019_09_01,ARG,Argentina,Reintroducao de controles cambiais,economy,exchange_rate_inflation,2019-09-01,2019-09-01,2019-09-01,day,30,exchange_rate,dolar_blue,Dolar blue Argentina,daily,ARS per USD,Bluelytics,2019-08-02,2019-08-31,2019-09-02,2019-10-01,30,30,54.7,61.266666666666666,6.566666666666663,12.004875076173056,495.6110040341538,0.013249638553655152,0.013249638553655152
ARG_2019_09_01,ARG,Argentina,Reintroducao de controles cambiais,economy,exchange_rate_inflation,2019-09-01,2019-09-01,2019-09-01,day,90,exchange_rate,dolar_blue,Dolar blue Argentina,daily,ARS per USD,Bluelytics,2019-06-03,2019-08-31,2019-09-02,2019-11-30,90,90,47.81111111111111,64.64444444444445,16.833333333333336,35.207994422495936,495.6110040341538,0.0339648094903343,0.0339648094903343
ARG_2019_09_01,ARG,Argentina,Reintroducao de controles cambiais,economy,exchange_rate_inflation,2019-09-01,2019-09-01,2019-09-01,day,180,exchange_rate,dolar_blue,Dolar blue Argentina,daily,ARS per USD,Bluelytics,2019-03-05,2019-08-31,2019-09-02,2020-02-28,180,180,45.96111111111111,70.36111111111111,24.40000000000001,53.08835972440471,495.6110040341538,0.04923215949886081,0.04923215949886081
ARG_2019_09_01,ARG,Argentina,Reintroducao de controles cambiais,economy,exchange_rate_inflation,2019-09-01,2019-09-01,2019-09-01,day,365,exchange_rate,dolar_blue,Dolar blue Argentina,daily,ARS per USD,Bluelytics,2018-09-01,2019-08-31,2019-09-02,2020-08-31,365,335,42.06301369863014,90.244776119403,48.18176242077285,114.54662465695364,495.6110040341538,0.09721689395228304,0.09721689395228304
ARG_2019_09_01,ARG,Argentina,Reintroducao de controles cambiais,economy,exchange_rate_inflation,2019-09-01,2019-09-01,2019-09-01,day,30,exchange_rate,dolar_oficial,Dolar oficial Argentina,daily,ARS per USD,Bluelytics,2019-08-02,2019-08-31,2019-09-02,2019-10-01,30,30,54.4,58.766666666666666,4.366666666666667,8.026960784313726,454.1485414111028,0.009615062624882214,0.009615062624882214
ARG_2019_09_01,ARG,Argentina,Reintroducao de controles cambiais,economy,exchange_rate_inflation,2019-09-01,2019-09-01,2019-09-01,day,90,exchange_rate,dolar_oficial,Dolar oficial Argentina,daily,ARS per USD,Bluelytics,2019-06-03,2019-08-31,2019-09-02,2019-11-30,90,90,47.72222222222222,61.01111111111111,13.288888888888891,27.846332945285223,454.1485414111028,0.029261106614145365,0.029261106614145365
ARG_2019_09_01,ARG,Argentina,Reintroducao de controles cambiais,economy,exchange_rate_inflation,2019-09-01,2019-09-01,2019-09-01,day,180,exchange_rate,dolar_oficial,Dolar oficial Argentina,daily,ARS per USD,Bluelytics,2019-03-05,2019-08-31,2019-09-02,2020-02-28,180,180,46.02777777777778,62.1,16.072222222222223,34.91852745926373,454.1485414111028,0.035389791569700055,0.035389791569700055
ARG_2019_09_01,ARG,Argentina,Reintroducao de controles cambiais,economy,exchange_rate_inflation,2019-09-01,2019-09-01,2019-09-01,day,365,exchange_rate,dolar_oficial,Dolar oficial Argentina,daily,ARS per USD,Bluelytics,2018-09-01,2019-08-31,2019-09-02,2020-08-31,365,335,42.276712328767125,66.09850746268657,23.821795133919444,56.347321780057,454.1485414111028,0.0524537523778053,0.0524537523778053
ARG_2019_10_27,ARG,Argentina,Eleicao Alberto Fernandez,politics,election,2019-10-27,2019-10-27,2019-10-27,day,30,exchange_rate,dolar_blue,Dolar blue Argentina,daily,ARS per USD,Bluelytics,2019-09-27,2019-10-26,2019-10-28,2019-11-26,30,30,64.13333333333334,67.03333333333333,2.8999999999999915,4.521829521829508,495.6110040341538,0.005851363219126881,0.005851363219126881
ARG_2019_10_27,ARG,Argentina,Eleicao Alberto Fernandez,politics,election,2019-10-27,2019-10-27,2019-10-27,day,90,exchange_rate,dolar_blue,Dolar blue Argentina,daily,ARS per USD,Bluelytics,2019-07-29,2019-10-26,2019-10-28,2020-01-25,90,90,59.31111111111111,71.93333333333334,12.622222222222227,21.28137879355565,495.6110040341538,0.02546800236370942,0.02546800236370942
ARG_2019_10_27,ARG,Argentina,Eleicao Alberto Fernandez,politics,election,2019-10-27,2019-10-27,2019-10-27,day,180,exchange_rate,dolar_blue,Dolar blue Argentina,daily,ARS per USD,Bluelytics,2019-04-30,2019-10-26,2019-10-28,2020-04-24,180,180,52.13333333333333,77.87222222222222,25.738888888888887,49.371270247229326,495.6110040341538,0.05193365094677187,0.05193365094677187
ARG_2019_10_27,ARG,Argentina,Eleicao Alberto Fernandez,politics,election,2019-10-27,2019-10-27,2019-10-27,day,365,exchange_rate,dolar_blue,Dolar blue Argentina,daily,ARS per USD,Bluelytics,2018-10-27,2019-10-26,2019-10-28,2020-10-26,365,319,45.76712328767123,102.77115987460814,57.00403658693691,124.55236967513903,495.6110040341538,0.1150176975953678,0.1150176975953678
