country_code,window_days,rarity_label,rows,events,median_percentile,rare_movements
ARG,30,acima do comum,8,7,85.59458588462778,0
ARG,30,comum,22,12,58.072832742507245,0
ARG,30,raro,10,8,98.5820174025137,10
ARG,90,acima do comum,7,7,91.16961012995668,0
ARG,90,comum,23,13,62.11262912362546,0
ARG,90,raro,10,9,99.0169943352216,10
ARG,180,acima do comum,7,6,93.22093431682474,0
ARG,180,comum,23,12,60.83596768528275,0
ARG,180,raro,10,7,99.22725676150333,10
ARG,365,acima do comum,8,6,92.26967180703835,0
ARG,365,comum,22,11,53.06445235270858,0
ARG,365,raro,10,7,98.33926453143536,10
BRA,30,acima do comum,10,8,85.23346303501945,0
BRA,30,comum,50,30,41.63424124513618,0
BRA,30,insuficiente,64,32,,0
BRA,30,raro,4,4,98.44357976653697,4
BRA,90,acima do comum,13,12,88.98305084745762,0
BRA,90,comum,109,32,34.74576271186441,0
BRA,90,raro,6,5,98.49015778837713,6
BRA,180,acima do comum,24,20,87.94642857142857,0
BRA,180,comum,100,31,33.47309362934362,0
BRA,180,raro,4,4,99.21875,4
BRA,365,acima do comum,18,13,85.43838862559241,0
BRA,365,comum,106,32,41.59241706161137,0
BRA,365,raro,4,4,99.52606635071089,4
USA,30,acima do comum,8,8,93.44569288389513,0
USA,30,comum,19,19,42.88389513108614,0
USA,30,insuficiente,78,26,,0
USA,90,acima do comum,23,14,89.74358974358975,0
USA,90,comum,76,27,48.900595510765,0
USA,90,insuficiente,27,27,,0
USA,90,raro,9,8,98.84169884169884,9
USA,180,acima do comum,33,14,88.49557522123894,0
USA,180,comum,91,27,39.63963963963964,0
USA,180,raro,11,9,98.17073170731707,11
USA,365,acima do comum,27,13,87.12871287128714,0
USA,365,comum,103,27,32.0,0
USA,365,raro,5,5,98.0,5
