country_code,event_category,events,mean_score,median_score,max_score
ARG,politics,5,41.493235562475476,38.189070586903924,71.98351538943882
ARG,economy,17,40.40061669521781,38.91974763383897,68.44137320730687
ARG,society,2,32.65786089932857,32.65786089932857,65.31572179865714
ARG,external_shock,1,35.177519996147495,35.177519996147495,35.177519996147495
BRA,economy,22,55.572592046546355,56.63296870550106,88.0
BRA,politics,10,58.6994381835152,60.7835671319012,68.03937852992117
BRA,external_shock,2,65.0262922530282,65.0262922530282,66.94162871253249
USA,economy,24,57.257053633899915,61.605824922768285,83.2022406894689
USA,external_shock,1,80.2863247863248,80.2863247863248,80.2863247863248
USA,politics,4,57.583182247290296,55.36196971777747,74.78023629265049
