country_code,window_days,persistence_label,rows,events,median_days_to_peak,median_days_until_normal
ARG,30,persistiu,18,9,332.0,
ARG,30,sem choque relevante,22,11,10.5,10.5
ARG,90,persistiu,18,9,332.0,
ARG,90,sem choque relevante,22,11,10.5,10.5
ARG,180,persistiu,18,9,332.0,
ARG,180,sem choque relevante,22,11,10.5,10.5
ARG,365,persistiu,18,9,332.0,
ARG,365,sem choque relevante,22,11,10.5,10.5
BRA,30,decaiu lentamente,39,24,162.0,204.0
BRA,30,persistiu,29,19,333.0,
BRA,30,reverteu rapido,18,15,15.5,46.0
BRA,30,sem choque relevante,42,22,71.5,71.5
BRA,90,decaiu lentamente,39,24,162.0,204.0
BRA,90,persistiu,29,19,333.0,
BRA,90,reverteu rapido,18,15,15.5,46.0
BRA,90,sem choque relevante,42,22,71.5,71.5
BRA,180,decaiu lentamente,39,24,162.0,204.0
BRA,180,persistiu,29,19,333.0,
BRA,180,reverteu rapido,18,15,15.5,46.0
BRA,180,sem choque relevante,42,22,71.5,71.5
BRA,365,decaiu lentamente,39,24,162.0,204.0
BRA,365,persistiu,29,19,333.0,
BRA,365,reverteu rapido,18,15,15.5,46.0
BRA,365,sem choque relevante,42,22,71.5,71.5
USA,30,decaiu lentamente,24,18,45.0,273.5
USA,30,persistiu,26,19,240.5,
USA,30,reverteu rapido,7,5,19.0,61.0
USA,30,sem choque relevante,48,26,82.0,82.0
USA,90,decaiu lentamente,32,19,36.5,257.0
USA,90,persistiu,34,20,278.5,
USA,90,reverteu rapido,7,5,19.0,61.0
USA,90,sem choque relevante,62,27,107.0,107.0
USA,180,decaiu lentamente,32,19,36.5,257.0
USA,180,persistiu,34,20,278.5,
USA,180,reverteu rapido,7,5,19.0,61.0
USA,180,sem choque relevante,62,27,107.0,107.0
USA,365,decaiu lentamente,32,19,36.5,257.0
USA,365,persistiu,34,20,278.5,
USA,365,reverteu rapido,7,5,19.0,61.0
USA,365,sem choque relevante,62,27,107.0,107.0
