event_id,country_code,country_name,event_name,event_anchor_date,event_date_precision,window_days,nearby_event_count,contamination_level,nearby_event_ids,nearby_event_names,nearby_event_distance_days,is_contaminated_window
ARG_2018_06,ARG,Argentina,Acordo com FMI,2018-06-15,month,30,0,baixa,,,,False
ARG_2018_06,ARG,Argentina,Acordo com FMI,2018-06-15,month,90,1,moderada,ARG_2018_08_30,Crise cambial e alta emergencial dos juros,75,True
ARG_2018_06,ARG,Argentina,Acordo com FMI,2018-06-15,month,180,1,moderada,ARG_2018_08_30,Crise cambial e alta emergencial dos juros,75,True
ARG_2018_08_30,ARG,Argentina,Crise cambial e alta emergencial dos juros,2018-08-30,day,30,0,baixa,,,,False
ARG_2018_08_30,ARG,Argentina,Crise cambial e alta emergencial dos juros,2018-08-30,day,90,1,moderada,ARG_2018_06,Acordo com FMI,-76,True
ARG_2018_08_30,ARG,Argentina,Crise cambial e alta emergencial dos juros,2018-08-30,day,180,1,moderada,ARG_2018_06,Acordo com FMI,-76,True
ARG_2019_08_11,ARG,Argentina,Primarias com derrota de Macri,2019-08-11,day,30,1,moderada,ARG_2019_09_01,Reintroducao de controles cambiais,21,True
ARG_2019_08_11,ARG,Argentina,Primarias com derrota de Macri,2019-08-11,day,90,2,moderada,ARG_2019_09_01; ARG_2019_10_27,Reintroducao de controles cambiais; Eleicao Alberto Fernandez,21; 77,True
ARG_2019_08_11,ARG,Argentina,Primarias com derrota de Macri,2019-08-11,day,180,2,moderada,ARG_2019_09_01; ARG_2019_10_27,Reintroducao de controles cambiais; Eleicao Alberto Fernandez,21; 77,True
ARG_2019_09_01,ARG,Argentina,Reintroducao de controles cambiais,2019-09-01,day,30,1,moderada,ARG_2019_08_11,Primarias com derrota de Macri,-21,True
ARG_2019_09_01,ARG,Argentina,Reintroducao de controles cambiais,2019-09-01,day,90,2,moderada,ARG_2019_08_11; ARG_2019_10_27,Primarias com derrota de Macri; Eleicao Alberto Fernandez,-21; 56,True
ARG_2019_09_01,ARG,Argentina,Reintroducao de controles cambiais,2019-09-01,day,180,2,moderada,ARG_2019_08_11; ARG_2019_10_27,Primarias com derrota de Macri; Eleicao Alberto Fernandez,-21; 56,True
ARG_2019_10_27,ARG,Argentina,Eleicao Alberto Fernandez,2019-10-27,day,30,0,baixa,,,,False
ARG_2019_10_27,ARG,Argentina,Eleicao Alberto Fernandez,2019-10-27,day,90,2,moderada,ARG_2019_09_01; ARG_2019_08_11,Reintroducao de controles cambiais; Primarias com derrota de Macri,-56; -77,True
