country_code,window_days,contamination_level,events,rows
ARG,30,alta,2,2
ARG,30,baixa,12,12
ARG,30,moderada,6,6
ARG,90,alta,5,5
ARG,90,baixa,1,1
ARG,90,moderada,14,14
ARG,180,alta,11,11
ARG,180,moderada,9,9
BRA,30,baixa,15,15
BRA,30,moderada,17,17
BRA,90,alta,4,4
BRA,90,baixa,1,1
BRA,90,moderada,27,27
BRA,180,alta,21,21
BRA,180,moderada,11,11
USA,30,alta,4,4
USA,30,baixa,19,19
USA,30,moderada,4,4
USA,90,alta,8,8
USA,90,baixa,5,5
USA,90,moderada,14,14
USA,180,alta,16,16
USA,180,baixa,1,1
USA,180,moderada,10,10
