country_code,country_name,event_name,event_category,event_subcategory,event_year,indicator_group,indicator_slug,indicator_name,previous_year_value,event_year_value,next_year_value,change_from_previous_year,change_to_next_year,previous_year_z_score,event_year_z_score,next_year_z_score,z_change_from_previous_year,z_change_to_next_year,abs_z_change_from_previous_year
USA,United States,Infrastructure Investment and Jobs Act,economy,fiscal,2021,gdp,gdp_growth_annual_pct,GDP growth (annual %),-2.16302914036166,6.05505293244555,2.51237531986017,8.21808207280721,-3.54267761258538,-2.32254728833758,1.8288186815378755,0.0392343049361421,4.151365969875456,-1.7895843766017334,4.151365969875456
USA,United States,Corte emergencial de juros do Fed,economy,monetary_policy,2020,unemployment,unemployment_pct,"Unemployment, total (% of total labor force)",3.669,8.055,5.349,4.385999999999999,-2.7059999999999995,-0.7056340843526892,2.7289581850634628,0.6099416139188877,3.434592269416152,-2.119016571144575,3.434592269416152
BRA,Brazil,Troca no comando da Petrobras,economy,energy,2021,gdp,gdp_growth_annual_pct,GDP growth (annual %),-3.27675879612903,4.7626043797061,3.01669435408112,8.03936317583513,-1.7459100256249798,-1.7204177161286027,1.2642931765429608,0.61610294590743,2.9847108926715635,-0.6481902306355308,2.9847108926715635
USA,United States,Pandemia Covid,external_shock,health_crisis,2020,debt,central_government_debt_pct_gdp,"Central government debt, total (% of GDP)",100.979786328903,126.370405951231,120.367733355153,25.390619622328003,-6.002672596078,-0.8973629898779975,1.5356661167322725,0.9604664027849004,2.43302910661027,-0.5751997139473721,2.43302910661027
USA,United States,Pandemia Covid,external_shock,health_crisis,2020,gdp,gdp_growth_annual_pct,GDP growth (annual %),2.58382533412825,-2.16302914036166,6.05505293244555,-4.7468544744899095,8.21808207280721,0.0753272953871736,-2.32254728833758,1.8288186815378755,-2.3978745837247537,4.151365969875456,2.3978745837247537
BRA,Brazil,Crise Joesley Day,politics,political_crisis,2017,inflation,inflation_annual_pct,"Inflation, consumer prices (annual %)",8.73914352329393,3.44637335032669,3.66485028376728,-5.29277017296724,0.21847693344059,1.372653241003956,-0.857863874817157,-0.7657917606829915,-2.230517115821113,0.0920721141341655,2.230517115821113
BRA,Brazil,CPI da Covid,politics,political_crisis,2021,inflation,inflation_annual_pct,"Inflation, consumer prices (annual %)",3.21176803803376,8.30165975585673,9.28010608956872,5.089891717822971,0.9784463337119896,-0.9567329258869808,1.1882856982478889,1.600629560334288,2.145018624134869,0.412343862086399,2.145018624134869
USA,United States,American Rescue Plan,economy,fiscal_social,2021,unemployment,unemployment_pct,"Unemployment, total (% of total labor force)",8.055,5.349,3.65,-2.7059999999999995,-1.6990000000000005,2.7289581850634628,0.6099416139188877,-0.7205126190355226,-2.119016571144575,-1.3304542329544102,2.119016571144575
BRA,Brazil,CPI da Covid,politics,political_crisis,2021,debt,central_government_debt_pct_gdp,"Central government debt, total (% of GDP)",98.7098819471851,85.011503676948,79.1023218880378,-13.6983782702371,-5.909181788910189,1.995101538250746,0.0181441206981385,-0.8346722155710292,-1.9769574175526077,-0.8528163362691678,1.9769574175526077
BRA,Brazil,Inicio do ciclo de corte da Selic de 2023,economy,monetary_policy,2023,inflation,inflation_annual_pct,"Inflation, consumer prices (annual %)",9.28010608956872,4.59356282283203,4.36746407652336,-4.68654326673669,-0.2260987463086703,1.600629560334288,-0.3744070705557272,-0.4696912236600842,-1.9750366308900151,-0.095284153104357,1.9750366308900151
USA,United States,Colapso do Silicon Valley Bank,economy,financial_stability,2023,inflation,inflation_annual_pct,"Inflation, consumer prices (annual %)",8.00279982052121,4.11633838374488,2.94952520485207,-3.8864614367763295,-1.1668131788928102,2.3618992281580447,0.4573918758643491,-0.1143889880666639,-1.9045073522936955,-0.571780863931013,1.9045073522936955
BRA,Brazil,Pandemia Covid,external_shock,health_crisis,2020,gdp,gdp_per_capita_current_usd,GDP per capita (current US$),9029.83304401079,7074.19407495707,7972.53696080695,-1955.638969053719,898.3428858498801,-0.1072282572851869,-2.0040248309077526,-1.1327118049442912,-1.8967965736225656,0.8713130259634614,1.8967965736225656
USA,United States,Primeira alta de juros do Fed no ciclo inflacionario,economy,monetary_policy,2022,gdp,gdp_growth_annual_pct,GDP growth (annual %),6.05505293244555,2.51237531986017,2.88755600749487,-3.54267761258538,0.3751806876347001,1.8288186815378755,0.0392343049361421,0.2287569119632508,-1.7895843766017334,0.1895226070271086,1.7895843766017334
BRA,Brazil,Crise Joesley Day,politics,political_crisis,2017,gdp,gdp_growth_annual_pct,GDP growth (annual %),-3.2759169063211,1.32286905390815,1.78366676137003,4.59878596022925,0.4607977074618801,-1.720105154346631,-0.0127501999368951,0.1583265267513088,1.707354954409736,0.1710767266882039,1.707354954409736
USA,United States,Invasao do Capitolio,politics,institutional_crisis,2021,inflation,inflation_annual_pct,"Inflation, consumer prices (annual %)",1.23358439630629,4.69785886363742,8.00279982052121,3.4642744673311303,3.3049409568837893,-0.9552623478411856,0.7423580456003179,2.3618992281580447,1.6976203934415035,1.6195411825577266,1.6976203934415035
BRA,Brazil,Auxilio emergencial,economy,fiscal_social,2020,gdp,gdp_growth_annual_pct,GDP growth (annual %),1.22077782271943,-3.27675879612903,4.7626043797061,-4.49753661884846,8.03936317583513,-0.0506528052938884,-1.7204177161286027,1.2642931765429608,-1.6697649108347143,2.9847108926715635,1.6697649108347143
USA,United States,Primeira alta de juros do Fed no ciclo inflacionario,economy,monetary_policy,2022,inflation,inflation_annual_pct,"Inflation, consumer prices (annual %)",4.69785886363742,8.00279982052121,4.11633838374488,3.3049409568837893,-3.8864614367763295,0.7423580456003179,2.3618992281580447,0.4573918758643491,1.6195411825577266,-1.9045073522936955,1.6195411825577266
ARG,Argentina,Renegociacao com FMI,economy,debt,2022,gdp,gdp_per_capita_current_usd,GDP per capita (current US$),10738.0179223384,13962.1894087223,14261.8465667948,3224.1714863839006,299.65715807249944,-0.755024209214233,0.8364424787669121,0.9843547057999564,1.591466687981145,0.1479122270330443,1.591466687981145
BRA,Brazil,Crise Joesley Day,politics,political_crisis,2017,debt,central_government_debt_pct_gdp,"Central government debt, total (% of GDP)",73.4188038019563,83.6692026491606,86.6078841212333,10.250398847204297,2.9386814720727017,-1.6549206432616417,-0.1755774951838309,0.2485346164419189,1.4793431480778108,0.4241121116257498,1.4793431480778108
BRA,Brazil,Teto do ICMS dos combustiveis,economy,energy_fiscal,2022,unemployment,unemployment_pct,"Unemployment, total (% of total labor force)",13.158,9.231,7.947,-3.927,-1.2839999999999998,0.9780562972662746,-0.4913293255060813,-0.9717701555645752,-1.4693856227723558,-0.4804408300584939,1.4693856227723558
ARG,Argentina,Acordo de reestruturacao da divida,economy,debt,2020,gdp,gdp_growth_annual_pct,GDP growth (annual %),-2.00086100285785,-9.9004848136464,10.4418119882506,-7.899623810788551,20.342296801897,-0.3537478138847595,-1.7916440128973874,1.9110780345357363,-1.437896199012628,3.702722047433124,1.437896199012628
ARG,Argentina,Eleicao Milei,politics,election,2023,gdp,gdp_growth_annual_pct,GDP growth (annual %),6.02074537534855,-1.85578803046339,-1.34293072157739,-7.876533405811941,0.512857308886,1.106351755090421,-0.3273415089034296,-0.2339907883190005,-1.4336932639938509,0.0933507205844291,1.4336932639938509
ARG,Argentina,Aprovacao inicial da Lei Bases na Camara,economy,fiscal_social,2024,inflation,inflation_annual_pct,"Inflation, consumer prices (annual %)",133.488935594175,219.883929014578,,86.39499342040301,,0.7538073978753127,2.133708051180835,,1.3799006533055225,,1.3799006533055225
ARG,Argentina,Crise cambial e alta emergencial dos juros,economy,debt_exchange_rate,2018,gdp,gdp_per_capita_current_usd,GDP per capita (current US$),14532.5009308511,11752.7998922979,9955.97478680428,-2779.7010385531994,-1796.8251054936209,1.1179510129974437,-0.2541229055538199,-1.141044495052926,-1.3720739185512636,-0.886921589499106,1.3720739185512636
USA,United States,Ciclo de alta de juros do Fed,economy,monetary_policy,2022,unemployment,unemployment_pct,"Unemployment, total (% of total labor force)",5.349,3.65,3.638,-1.6990000000000005,-0.012,0.6099416139188877,-0.7205126190355226,-0.729909588308891,-1.3304542329544102,-0.0093969692733684,1.3304542329544102
ARG,Argentina,Renegociacao com FMI,economy,debt,2022,unemployment,unemployment_pct,"Unemployment, total (% of total labor force)",8.736,6.805,6.139,-1.931000000000001,-0.6659999999999995,0.2917311230463013,-0.9810497142840412,-1.4200305727314817,-1.2727808373303424,-0.4389808584474405,1.2727808373303424
BRA,Brazil,Aprovacao da PEC da Transicao,economy,fiscal,2022,gdp,gdp_per_capita_current_usd,GDP per capita (current US$),7972.53696080695,9281.33282136864,10377.5897719195,1308.7958605616896,1096.25695055086,-1.1327118049442912,0.1367042494341069,1.1999763873486773,1.269416054378398,1.0632721379145704,1.269416054378398
BRA,Brazil,Reforma trabalhista,economy,labor_market,2017,gdp,gdp_per_capita_current_usd,GDP per capita (current US$),8836.28546025694,10080.5078722821,9300.66072904004,1244.2224120251594,-779.8471432420592,-0.2949522694912163,0.9118332595861088,0.1554506078502237,1.206785529077325,-0.7563826517358851,1.206785529077325
ARG,Argentina,Controles cambiais e crise inflacionaria,economy,exchange_rate_inflation,2020,unemployment,unemployment_pct,"Unemployment, total (% of total labor force)",9.843,11.461,8.736,1.6180000000000003,-2.725,1.0213884958711008,2.087861512339508,0.2917311230463013,1.066473016468407,-1.7961303892932066,1.066473016468407
BRA,Brazil,Atos de 8 de janeiro,politics,institutional_crisis,2023,gdp,gdp_per_capita_current_usd,GDP per capita (current US$),9281.33282136864,10377.5897719195,10310.5488778166,1096.25695055086,-67.04089410289998,0.1367042494341069,1.1999763873486773,1.1349526584093297,1.0632721379145704,-0.0650237289393476,1.0632721379145704
ARG,Argentina,Crise cambial e alta emergencial dos juros,economy,debt_exchange_rate,2018,gdp,gdp_growth_annual_pct,GDP growth (annual %),2.81850297775918,-2.61739646282038,-2.00086100285785,-5.43589944057956,0.6165354599625301,0.5234768888819232,-0.4659701191071814,-0.3537478138847595,-0.9894470079891048,0.1122223052224218,0.9894470079891048
ARG,Argentina,Desvalorizacao pos-PASO,economy,exchange_rate_inflation,2023,inflation,inflation_annual_pct,"Inflation, consumer prices (annual %)",72.430757531824,133.488935594175,219.883929014578,61.05817806235099,86.39499342040301,-0.2214136937902325,0.7538073978753127,2.133708051180835,0.9752210916655452,1.3799006533055225,0.9752210916655452
ARG,Argentina,Primarias com derrota de Macri,politics,election,2019,gdp,gdp_per_capita_current_usd,GDP per capita (current US$),11752.7998922979,9955.97478680428,8535.59938004389,-1796.8251054936209,-1420.3754067603895,-0.2541229055538199,-1.141044495052926,-1.842148686884264,-0.886921589499106,-0.7011041918313381,0.886921589499106
BRA,Brazil,Pandemia Covid,external_shock,health_crisis,2020,debt,central_government_debt_pct_gdp,"Central government debt, total (% of GDP)",92.5652531951269,98.7098819471851,85.011503676948,6.144628752058196,-13.6983782702371,1.1083053679418782,1.995101538250746,0.0181441206981385,0.8867961703088678,-1.9769574175526077,0.8867961703088678
