event_id,country_code,event_name,term,rows,start_date,end_date,mean_interest,max_interest,max_z_score
ARG_2018_06,ARG,Acordo com FMI,crisis argentina,56,2017-12-03,2018-12-23,1.2142857142857142,5,4.029515382729439
ARG_2018_06,ARG,Acordo com FMI,dolar argentina,56,2017-12-03,2018-12-23,21.589285714285715,100,5.623468556465001
ARG_2018_06,ARG,Acordo com FMI,fmi argentina,56,2017-12-03,2018-12-23,0.9642857142857143,13,6.570062134989339
ARG_2019_08_11,ARG,Primarias com derrota de Macri,elecciones argentina,52,2019-02-10,2020-02-02,3.576923076923077,100,6.714763729181784
ARG_2019_08_11,ARG,Primarias com derrota de Macri,macri fernandez,52,2019-02-10,2020-02-02,0.3076923076923077,4,4.629531092835958
ARG_2019_08_11,ARG,Primarias com derrota de Macri,paso argentina,52,2019-02-10,2020-02-02,0.9230769230769231,7,5.872023755352613
ARG_2020_03,ARG,Pandemia Covid,coronavirus argentina,57,2019-09-01,2020-09-27,15.280701754385966,100,4.243835519342038
ARG_2020_03,ARG,Pandemia Covid,cuarentena argentina,57,2019-09-01,2020-09-27,2.5789473684210527,20,4.197390300469667
ARG_2020_03,ARG,Pandemia Covid,pandemia argentina,57,2019-09-01,2020-09-27,0.3157894736842105,2,3.3606722016672235
ARG_2020_05_22,ARG,Default da divida soberana,bonos argentina,52,2019-11-24,2020-11-15,4.538461538461538,10,3.706169831900352
ARG_2020_05_22,ARG,Default da divida soberana,default argentina,52,2019-11-24,2020-11-15,5.3076923076923075,43,4.8903510755480175
ARG_2020_05_22,ARG,Default da divida soberana,deuda argentina,52,2019-11-24,2020-11-15,24.51923076923077,100,6.25632481615935
ARG_2020_08_04,ARG,Acordo de reestruturacao da divida,bonistas argentina,53,2020-02-02,2021-01-31,0.6037735849056604,12,6.426259237541814
ARG_2020_08_04,ARG,Acordo de reestruturacao da divida,deuda argentina,53,2020-02-02,2021-01-31,23.358490566037737,100,6.056119999227608
ARG_2020_08_04,ARG,Acordo de reestruturacao da divida,reestructuracion deuda,53,2020-02-02,2021-01-31,0.16981132075471697,3,4.446518750465641
ARG_2022_03,ARG,Renegociacao com FMI,acuerdo fmi,57,2021-08-29,2022-09-25,6.719298245614035,100,5.300461857293297
ARG_2022_03,ARG,Renegociacao com FMI,deuda argentina,57,2021-08-29,2022-09-25,20.56140350877193,48,4.5842439531224315
ARG_2022_03,ARG,Renegociacao com FMI,fmi argentina,57,2021-08-29,2022-09-25,9.68421052631579,52,4.8194140996276635
ARG_2022_07_02,ARG,Renuncia de Martin Guzman,martin guzman,52,2022-01-02,2022-12-25,6.365384615384615,100,5.64203002916159
ARG_2022_07_02,ARG,Renuncia de Martin Guzman,ministro economia argentina,52,2022-01-02,2022-12-25,3.1153846153846154,62,6.475961387912185
ARG_2022_07_02,ARG,Renuncia de Martin Guzman,renuncia guzman,52,2022-01-02,2022-12-25,2.1923076923076925,60,5.947777652774472
ARG_2022_08_03,ARG,Posse de Sergio Massa na Economia,dolar argentina,53,2022-01-30,2023-01-29,45.24528301886792,100,3.6214560800502884
