country_code,country_name,year,indicator_slug,indicator_code,indicator_name,value,source
ARG,Argentina,2025,inflation_annual_pct,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",,World Bank API
ARG,Argentina,2024,inflation_annual_pct,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",219.883929014578,World Bank API
ARG,Argentina,2023,inflation_annual_pct,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",133.488935594175,World Bank API
ARG,Argentina,2022,inflation_annual_pct,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",72.430757531824,World Bank API
ARG,Argentina,2021,inflation_annual_pct,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",48.4093786255199,World Bank API
ARG,Argentina,2020,inflation_annual_pct,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",42.0150947376509,World Bank API
ARG,Argentina,2019,inflation_annual_pct,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",53.5483043492339,World Bank API
ARG,Argentina,2018,inflation_annual_pct,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",34.2772237131003,World Bank API
ARG,Argentina,2017,inflation_annual_pct,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",,World Bank API
ARG,Argentina,2016,inflation_annual_pct,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",,World Bank API
BRA,Brazil,2025,inflation_annual_pct,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",,World Bank API
BRA,Brazil,2024,inflation_annual_pct,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",4.36746407652336,World Bank API
BRA,Brazil,2023,inflation_annual_pct,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",4.59356282283203,World Bank API
BRA,Brazil,2022,inflation_annual_pct,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",9.28010608956872,World Bank API
BRA,Brazil,2021,inflation_annual_pct,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",8.30165975585673,World Bank API
BRA,Brazil,2020,inflation_annual_pct,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",3.21176803803376,World Bank API
BRA,Brazil,2019,inflation_annual_pct,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",3.73297621216893,World Bank API
BRA,Brazil,2018,inflation_annual_pct,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",3.66485028376728,World Bank API
BRA,Brazil,2017,inflation_annual_pct,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",3.44637335032669,World Bank API
BRA,Brazil,2016,inflation_annual_pct,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",8.73914352329393,World Bank API
USA,United States,2025,inflation_annual_pct,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",,World Bank API
USA,United States,2024,inflation_annual_pct,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",2.94952520485207,World Bank API
USA,United States,2023,inflation_annual_pct,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",4.11633838374488,World Bank API
USA,United States,2022,inflation_annual_pct,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",8.00279982052121,World Bank API
USA,United States,2021,inflation_annual_pct,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",4.69785886363742,World Bank API
USA,United States,2020,inflation_annual_pct,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",1.23358439630629,World Bank API
USA,United States,2019,inflation_annual_pct,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",1.81221007526021,World Bank API
USA,United States,2018,inflation_annual_pct,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",2.44258329692817,World Bank API
USA,United States,2017,inflation_annual_pct,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",2.13011000365961,World Bank API
USA,United States,2016,inflation_annual_pct,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",1.26158320570536,World Bank API
ARG,Argentina,2025,unemployment_pct,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)",7.145,World Bank API
ARG,Argentina,2024,unemployment_pct,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)",7.15,World Bank API
ARG,Argentina,2023,unemployment_pct,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)",6.139,World Bank API
ARG,Argentina,2022,unemployment_pct,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)",6.805,World Bank API
ARG,Argentina,2021,unemployment_pct,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)",8.736,World Bank API
ARG,Argentina,2020,unemployment_pct,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)",11.461,World Bank API
ARG,Argentina,2019,unemployment_pct,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)",9.843,World Bank API
ARG,Argentina,2018,unemployment_pct,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)",9.22,World Bank API
ARG,Argentina,2017,unemployment_pct,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)",8.347,World Bank API
ARG,Argentina,2016,unemployment_pct,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)",8.088,World Bank API
BRA,Brazil,2025,unemployment_pct,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)",5.97,World Bank API
BRA,Brazil,2024,unemployment_pct,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)",6.801,World Bank API
BRA,Brazil,2023,unemployment_pct,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)",7.947,World Bank API
BRA,Brazil,2022,unemployment_pct,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)",9.231,World Bank API
BRA,Brazil,2021,unemployment_pct,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)",13.158,World Bank API
BRA,Brazil,2020,unemployment_pct,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)",13.697,World Bank API
BRA,Brazil,2019,unemployment_pct,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)",11.936,World Bank API
BRA,Brazil,2018,unemployment_pct,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)",12.329,World Bank API
BRA,Brazil,2017,unemployment_pct,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)",12.792,World Bank API
BRA,Brazil,2016,unemployment_pct,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)",11.58,World Bank API
USA,United States,2025,unemployment_pct,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)",4.198,World Bank API
USA,United States,2024,unemployment_pct,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)",4.022,World Bank API
USA,United States,2023,unemployment_pct,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)",3.638,World Bank API
USA,United States,2022,unemployment_pct,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)",3.65,World Bank API
USA,United States,2021,unemployment_pct,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)",5.349,World Bank API
USA,United States,2020,unemployment_pct,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)",8.055,World Bank API
USA,United States,2019,unemployment_pct,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)",3.669,World Bank API
USA,United States,2018,unemployment_pct,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)",3.896,World Bank API
USA,United States,2017,unemployment_pct,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)",4.355,World Bank API
USA,United States,2016,unemployment_pct,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)",4.869,World Bank API
ARG,Argentina,2025,gdp_growth_annual_pct,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),,World Bank API
ARG,Argentina,2024,gdp_growth_annual_pct,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),-1.34293072157739,World Bank API
ARG,Argentina,2023,gdp_growth_annual_pct,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),-1.85578803046339,World Bank API
ARG,Argentina,2022,gdp_growth_annual_pct,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),6.02074537534855,World Bank API
ARG,Argentina,2021,gdp_growth_annual_pct,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),10.4418119882506,World Bank API
